PM 2.5,PM 10,CO,CO2
66.8,79.2,2.04538,403.71494
65.6,78.9,2.19097,403.64099
70.0,83.6,2.18101,403.64099
73.7,85.2,2.1612,403.70139
69.5,82.5,2.19596,403.68115
65.3,76.1,2.13664,403.72849
66.0,77.8,2.15135,403.72171
63.8,75.2,2.10264,403.70816
64.6,75.9,2.12688,403.68115
66.5,79.6,2.09782,403.66772
66.7,78.5,2.03126,403.67444
65.7,77.3,1.87234,403.7832
67.3,80.0,1.87673,403.70816
66.7,78.5,1.95276,403.6879
70.2,83.1,2.0882,403.70139
70.7,83.8,2.05483,403.71494
65.8,80.0,1.82452,403.74893
67.5,78.6,1.84613,403.7626
64.4,77.9,1.82883,403.69464
68.6,79.7,1.93465,403.7626
68.4,81.5,1.88997,403.74893
67.8,80.2,1.87673,403.69464
64.3,77.7,2.05957,403.71494
62.7,74.8,1.98478,403.69464
63.5,74.0,1.79462,403.64099
59.2,70.0,1.84613,403.65436
61.5,72.3,1.85483,403.64767
58.5,70.3,1.83746,403.62769
59.2,71.2,1.79886,403.66104
61.0,72.7,1.83746,403.62103
60.8,72.1,1.92116,403.61441
59.9,71.6,1.92565,403.64099
59.4,69.4,1.81166,403.64099
62.4,74.4,1.82452,403.6879
60.1,70.8,1.84613,403.60779
58.6,69.3,1.86357,403.69464
57.9,70.4,1.8592,403.62769
60.3,71.7,1.84613,403.68115
55.8,65.4,1.8592,403.63434
57.1,67.8,1.85483,403.64767
58.9,68.7,1.82023,403.57486
54.6,64.9,1.82452,403.58142
54.7,65.3,2.02658,403.52914
55.4,64.6,1.82452,403.60779
57.8,68.6,1.81166,403.5683
53.1,63.3,1.83746,403.54868
52.8,64.1,1.84613,403.61441
53.3,64.2,1.82023,403.52264
51.9,59.4,1.84179,403.52264
55.2,66.4,1.86795,403.5683
55.9,70.1,1.82452,403.5683
56.0,66.7,1.82452,403.63434
57.6,67.8,1.96187,403.54868
55.6,65.5,1.82023,403.57486
58.3,70.6,1.82883,403.59457
54.6,68.7,1.82883,403.60779
59.7,73.7,1.80738,403.5683
57.5,70.0,1.85483,403.67444
53.7,63.6,1.85048,403.61441
54.7,65.8,1.82883,403.58801
53.7,62.2,1.85048,403.58142
54.1,63.3,1.97559,403.6012
54.7,65.0,1.79462,403.58801
56.9,68.1,1.78614,403.57486
54.2,65.2,1.7777,403.54214
53.3,61.9,1.85483,403.58801
57.6,66.3,1.82883,403.52914
54.2,64.6,1.82452,403.57486
53.2,62.0,1.94822,403.52914
54.7,65.5,1.93014,403.52914
53.5,61.8,1.7651,403.4968
51.9,61.6,1.88114,403.50323
52.0,60.2,1.78614,403.53564
54.6,65.6,1.79886,403.5097
53.5,62.6,1.75674,403.54868
54.0,64.7,1.82883,403.52264
50.8,60.8,1.79462,403.53564
52.5,61.4,1.79037,403.54868
51.2,60.2,1.7651,403.52264
50.4,61.1,1.78614,403.50323
48.4,59.4,1.68697,403.47751
49.4,58.5,1.78192,403.52914
50.1,60.0,1.78614,403.51617
47.6,55.7,1.74842,403.50323
48.6,58.9,1.78614,403.49036
49.9,57.5,1.88114,403.47751
48.2,56.2,1.78192,403.47751
48.2,56.9,1.7735,403.5097
48.1,59.8,1.7735,403.54868
46.4,55.5,1.7735,403.50323
48.0,57.5,1.83746,403.54868
46.5,54.9,1.75674,403.51617
46.6,55.8,1.76929,403.52264
46.7,53.3,1.76929,403.4968
46.3,55.2,1.74012,403.4968
46.5,55.4,1.73598,403.46469
45.1,53.2,1.74426,403.4519
47.1,56.4,1.74426,403.45831
45.8,53.1,1.74426,403.4519
46.5,57.8,1.7651,403.48392
46.8,55.2,1.7735,403.52264
45.7,56.0,1.74012,403.47751
45.2,55.8,1.74012,403.47751
45.8,56.9,1.73598,403.4711
46.4,54.9,1.70318,403.48392
45.5,54.9,1.72774,403.48392
45.5,54.5,1.7651,403.45831
45.0,54.1,1.74842,403.49036
44.4,52.1,1.75674,403.45831
44.9,52.9,1.70318,403.47751
44.3,52.7,1.74842,403.49036
44.6,53.6,1.72774,403.48392
45.5,54.0,1.72774,403.46469
43.2,48.5,1.72362,403.42648
43.8,51.7,1.73598,403.48392
43.5,51.5,1.75258,403.44556
43.1,52.3,1.75258,403.43918
42.6,48.6,1.74012,403.4519
42.5,51.5,1.72774,403.42017
40.7,49.8,1.74012,403.42648
43.0,50.9,1.74426,403.48392
41.4,49.8,1.74012,403.44556
41.5,50.6,1.70318,403.35114
41.0,47.7,1.71542,403.36984
41.3,49.5,1.70725,403.43283
42.6,51.4,1.71952,403.34491
41.4,49.4,1.70725,403.32013
41.4,48.8,1.69506,403.27103
42.0,49.9,1.7735,403.44556
40.6,48.2,1.70725,403.43283
41.9,48.4,1.83314,403.40121
40.6,47.7,1.7735,403.42648
41.5,46.6,1.70318,403.42648
40.6,48.3,1.6312,403.40121
40.4,49.3,1.74012,403.4519
41.3,50.4,1.68697,403.34491
41.1,48.2,1.61164,403.35736
40.7,50.2,1.72774,403.38864
39.1,44.9,1.68697,403.33871
39.2,45.5,1.71952,403.25885
41.0,47.8,1.70318,403.27103
40.1,46.7,1.69912,403.35736
40.0,46.9,1.71542,403.32632
39.5,48.6,1.78614,403.41382
